Phase,subtitle,title,description,position
Rails 5.2 to 6.0,sass-rails 5.0.7 - upgrade to 6.0.0,Rails 5.2 to 6.0: sass-rails 5.0.7 - upgrade to 6.0.0,"More details:

```
$ bundle exec bundle_report compatibility --rails-version=6.0.0
                => Incompatible with Rails 6.0.0 (with new versions that are compatible):
        These gems will need to be upgraded before upgrading to Rails 6.0.0.

                awesome_nested_set 3.1.4 - upgrade to 3.2.0
                default_value_for 3.0.5 - upgrade to 3.3.0
                devise 3.4.1 - upgrade to 4.7.0
                flavors 0.6.0 - upgrade to 1.0.0
                interactor-rails 2.0.2 - upgrade to 2.2.1
                jquery-rails 2.1.4 - upgrade to 4.3.5
                premailer-rails 1.8.2 - upgrade to 1.10.3
                rails-dom-testing 1.0.9 - upgrade to 2.0.3
                rails-observers 0.1.2 - upgrade to 0.1.5
                responders 2.4.0 - upgrade to 3.0.0
                sass-rails 5.0.7 - upgrade to 6.0.0

                        => Incompatible with Rails 6.0.0 (with no new compatible versions):
        These gems will need to be removed or replaced before upgrading to Rails 6.0.0.

                actionpack-action_caching 1.2.0 - new version, 1.2.0, is not compatible with Rails 6.0.0
                actionpack-page_caching 1.1.0 - new version, 1.1.1, is not compatible with Rails 6.0.0
                acts_as_paranoid 0.5.0 - new version, 0.6.0, is not compatible with Rails 6.0.0
                db-charmer 2.0.0.rn.dev2 (loaded from git) - new version, 1.9.1, is not compatible with Rails 6.0.0
                prototype-rails 4.0.0 (loaded from git) - new version, 4.0.1, is not compatible with Rails 6.0.0
                quiet_assets 1.1.0 - new version, 1.1.0, is not compatible with Rails 6.0.0
                remockable 0.3.6 - new version, 0.3.6, is not compatible with Rails 6.0.0

                        => Incompatible with Rails 6.0.0 (with no new versions):
        These gems will need to be upgraded by us or removed before upgrading to Rails 6.0.0.
        This list is likely to contain internal gems, like Cuddlefish.

                rin-tin-tin 0.0.1 (loaded from git) - new version not found

                19 gems incompatible with Rails 6.0.0
```",87
Rails 5.2 to 6.0,responders 2.4.0 - upgrade to 3.0.0,Rails 5.2 to 6.0: responders 2.4.0 - upgrade to 3.0.0,"More details:

```
$ bundle exec bundle_report compatibility --rails-version=6.0.0
                => Incompatible with Rails 6.0.0 (with new versions that are compatible):
        These gems will need to be upgraded before upgrading to Rails 6.0.0.

                awesome_nested_set 3.1.4 - upgrade to 3.2.0
                default_value_for 3.0.5 - upgrade to 3.3.0
                devise 3.4.1 - upgrade to 4.7.0
                flavors 0.6.0 - upgrade to 1.0.0
                interactor-rails 2.0.2 - upgrade to 2.2.1
                jquery-rails 2.1.4 - upgrade to 4.3.5
                premailer-rails 1.8.2 - upgrade to 1.10.3
                rails-dom-testing 1.0.9 - upgrade to 2.0.3
                rails-observers 0.1.2 - upgrade to 0.1.5
                responders 2.4.0 - upgrade to 3.0.0
                sass-rails 5.0.7 - upgrade to 6.0.0

                        => Incompatible with Rails 6.0.0 (with no new compatible versions):
        These gems will need to be removed or replaced before upgrading to Rails 6.0.0.

                actionpack-action_caching 1.2.0 - new version, 1.2.0, is not compatible with Rails 6.0.0
                actionpack-page_caching 1.1.0 - new version, 1.1.1, is not compatible with Rails 6.0.0
                acts_as_paranoid 0.5.0 - new version, 0.6.0, is not compatible with Rails 6.0.0
                db-charmer 2.0.0.rn.dev2 (loaded from git) - new version, 1.9.1, is not compatible with Rails 6.0.0
                prototype-rails 4.0.0 (loaded from git) - new version, 4.0.1, is not compatible with Rails 6.0.0
                quiet_assets 1.1.0 - new version, 1.1.0, is not compatible with Rails 6.0.0
                remockable 0.3.6 - new version, 0.3.6, is not compatible with Rails 6.0.0

                        => Incompatible with Rails 6.0.0 (with no new versions):
        These gems will need to be upgraded by us or removed before upgrading to Rails 6.0.0.
        This list is likely to contain internal gems, like Cuddlefish.

                rin-tin-tin 0.0.1 (loaded from git) - new version not found

                19 gems incompatible with Rails 6.0.0
```",88
Rails 5.2 to 6.0,Rename `be_success` to `be_successful`,Rails 5.2 to 6.0: Rename `be_success` to `be_successful`,"Remove deprecated methods in ActionDispatch::TestResponse: #success? in favor of #successful?, #missing? in favor of #not_found?, #error? in favor of #server_error?",89
Rails 5.2 to 6.0,Remove calls to deprecated `config.secret_token`,Rails 5.2 to 6.0: Remove calls to deprecated `config.secret_token`,More here: https://github.com/rails/rails/commit/46ac5fe69a20d4539a15929fe48293e1809a26b0,90
Rails 5.2 to 6.0,Solve issues with new autoloading mechanism (zeitwerk),Rails 5.2 to 6.0: Solve issues with new autoloading mechanism (zeitwerk),"The default configuration for Rails 6

# config/application.rb

config.load_defaults ""6.0""
enables zeitwerk autoloading mode on CRuby. In that mode, autoloading, reloading, and eager loading are managed by Zeitwerk.",91
Rails 5.2 to 6.0,"Verify one file, one constant (autoload)","Rails 5.2 to 6.0: Verify one file, one constant (autoload)","2.6.8 One file, one constant (at the same top-level)

In classic mode you could technically define several constants at the same top-level and have them all reloaded. For example, given

```
# app/models/foo.rb

class Foo
end

class Bar
end
while Bar could not be autoloaded, autoloading Foo would mark Bar as autoloaded too. This is not the case in zeitwerk mode, you need to move Bar to its own file bar.rb. One file, one constant.
```",92
Rails 5.2 to 6.0,Fix broken build with Rails 6.0,Rails 5.2 to 6.0: Fix broken build with Rails 6.0,There will be many failures. Fix them all.,93
Rails 5.2 to 6.0,Fix conflicts with rebases,Rails 5.2 to 6.0: Fix conflicts with rebases,,94
Rails 5.2 to 6.0,Deploy to staging and QA,Rails 5.2 to 6.0: Deploy to staging and QA,,95
Rails 5.2 to 6.0,Deploy to production and QA,Rails 5.2 to 6.0: Deploy to production and QA,,96
Rails 5.2 to 6.0,Expire cookies after deployment,Rails 5.2 to 6.0: Expire cookies after deployment,"Cookies generated with Rails 5.2 won't be compatible with Rails 6.0. Expire sessions.

https://edgeguides.rubyonrails.org/upgrading_ruby_on_rails.html#expiry-in-signed-or-encrypted-cookie-is-now-embedded-in-the-cookies-values",97
